Unnamed: 0,hhid,intmonth,stfips,weight,earnwke,uhours,grade92,race,ethnic,age,sex,marital,ownchild,chldpres,prcitshp,state,ind02,occ2012,class,unionmme,unioncov,lfsr94
107174,926889170399003,May,CA,4008.7278,1115.0,40,46,1,,33,1,7,0,0,"Foreign Born, US Cit By Naturalization",9,"Electronic component and product manufacturing, n.e.c. (3344, 3346)",1760,"Private, For Profit",No,No,Employed-At Work
107175,927056334036620,May,CA,3656.8548,420.0,40,39,1,1.0,30,1,1,1,3,"Foreign Born, Not a US Citizen",9,Warehousing and storage (493),5610,"Private, For Profit",No,No,Employed-At Work
107178,927056734079620,May,CA,2501.2631,211.0,32,36,1,1.0,52,1,1,0,0,"Native, Born In US",9,** Construction (23),6250,"Private, For Profit",Yes,,Employed-At Work
107180,930009010600110,May,CA,2805.4869,1923.07,40,44,1,,60,2,1,0,0,"Native, Born In US",9,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-At Work
107181,930093689600655,May,CA,3472.4103,2115.38,40,43,4,,44,1,1,2,3,"Foreign Born, US Cit By Naturalization",9,Wired telecommunications carriers (*5171),1020,"Private, For Profit",No,No,Employed-At Work
107182,930093689600655,May,CA,3356.2424,1923.07,40,43,4,,44,2,1,2,3,"Foreign Born, US Cit By Naturalization",9,Wired telecommunications carriers (*5171),1020,"Private, For Profit",No,No,Employed-At Work
107183,931036791079580,May,CA,3203.8739,795.5,40,39,1,1.0,44,2,6,1,4,"Native, Born In US",9,"Non-depository credit and related activities (5222, 5223)",4820,"Private, For Profit",No,No,Employed-At Work
107188,932006971079240,May,CA,3014.1076,2750.0,55,40,1,,62,1,5,0,0,"Native, Born In US",9,"** Groceries and related products, merchant wholesalers (*4244)",4710,"Private, For Profit",No,No,Employed-At Work
107189,936001200600177,May,CA,4008.7278,2500.0,50,41,1,,31,1,1,0,0,"Native, Born In US",9,****Department stores and discount stores (s45211),4700,"Private, For Profit",No,No,Employed-At Work
107190,936001200600177,May,CA,3702.7724,1903.84,50,44,1,,33,2,1,0,0,"Foreign Born, US Cit By Naturalization",9,"**Publishing, except newspapers and software (5111 exc. 51111)",430,"Private, For Profit",No,No,Employed-At Work
107193,936079330449008,May,CA,2834.8611,276.0,65,40,1,1.0,51,2,5,0,0,"Foreign Born, US Cit By Naturalization",9,Crop production (111),6040,"Private, For Profit",No,No,Employed-At Work
107194,936079430749006,May,CA,3067.1418,1923.0,40,43,1,,53,1,1,0,0,"Native, Born In US",9,"Aerospace products and parts manufacturing (336414, 336415, 336419)",1010,"Private, For Profit",No,No,Employed-At Work
107195,936079430749006,May,CA,3242.8823,1923.0,40,43,1,,51,2,1,0,0,"Native, Born In US",9,"Aerospace products and parts manufacturing (336414, 336415, 336419)",430,"Private, For Profit",No,No,Employed-At Work
107197,937000940600197,May,CA,3318.3896,374.0,40,33,1,1.0,57,2,7,0,0,"Foreign Born, US Cit By Naturalization",9,Crop production (111),6040,"Private, For Profit",No,No,Employed-At Work
107198,937016714079120,May,CA,3597.6054,2884.61,40,41,1,,41,1,1,2,2,"Native, Born In US",9,Computer systems design and related services (5415),430,"Private, For Profit",No,No,Employed-At Work
107200,938006919079370,May,CA,3907.902,2884.61,50,43,1,,37,1,1,2,8,"Native, Born In US",9,"Electronic component and product manufacturing, n.e.c. (3344, 3346)",4850,"Private, For Profit",No,No,Employed-At Work
107201,938006919079370,May,CA,3461.9672,2307.0,55,43,1,,38,2,1,2,8,"Native, Born In US",9,4795,630,"Private, For Profit",No,No,Employed-At Work
107203,939090079600318,May,CA,3059.4848,2307.69,40,44,1,,44,1,1,0,0,"Native, Born In US",9,Advertising and related services (5418),20,"Private, For Profit",No,No,Employed-At Work
107208,942066496039140,May,CA,2765.1931,250.0,25,44,1,7.0,64,1,5,0,0,"Foreign Born, US Cit By Naturalization",9,Other personal services (8129),9350,"Private, For Profit",No,No,Employed-At Work
107209,942066496039140,May,CA,3203.4606,865.38,40,44,1,7.0,32,2,7,0,0,"Native, Born In US",9,Individual and family services (6241),2000,"Private, Nonprofit",No,No,Employed-At Work
107211,944006733039760,May,CA,2848.058,526.4,35,40,1,,55,2,5,0,0,"Native, Born In US",9,Restaurants and other food services (722 exc. 7224),4110,"Private, For Profit",No,No,Employed-At Work
107213,946369970329002,May,CA,3356.151,900.0,40,40,1,,54,2,1,0,0,"Native, Born In US",9,Couriers and messengers (492),5510,"Private, For Profit",No,No,Employed-At Work
107214,946369970329002,May,CA,3550.018,769.23,40,40,7,,50,1,1,0,0,"Native, Born In US",9,"Electronic component and product manufacturing, n.e.c. (3344, 3346)",8200,"Private, For Profit",No,No,Employed-At Work
107216,946729270309001,May,CA,3632.333,1000.0,48,43,1,,43,1,1,0,0,"Native, Born In US",9,Motion pictures and video industries (5121),20,"Private, For Profit",No,No,Employed-At Work
107220,951076703039420,May,CA,3635.2259,660.82,38,37,2,,59,2,7,0,0,"Native, Born In US",9,Nursing care facilities (6231),3600,"Private, For Profit",Yes,,Employed-At Work
107221,951076703039420,May,CA,2314.4894,430.0,40,37,2,,38,2,5,2,10,"Native, Born In US",9,"Offices of other health practitioners (6213 exc. 62131, 62132)",3655,"Private, For Profit",No,No,Employed-At Work
107224,951076703039420,May,CA,2591.1218,600.0,40,39,2,,42,2,6,2,3,"Native, Born In US",9,Employment services (5613),5700,"Private, For Profit",No,No,Employed-At Work
107230,956409570479007,May,CA,3025.8104,346.15,20,44,1,,45,2,1,2,10,"Native, Born In US",9,"Accounting, tax preparation, bookkeeping, and payroll services (5412)",5700,"Private, For Profit",No,No,Employed-At Work
107237,956799670179007,May,CA,2854.549,520.0,40,40,1,,63,1,1,0,0,"Native, Born In US",9,"Executive offices and legislative bodies (92111, 92112, 92114, pt. 92115)",5240,Government - Local,Yes,,Employed-At Work
107238,956799670179007,May,CA,2848.058,1800.0,40,43,1,,59,2,1,0,0,"Native, Born In US",9,"Executive offices and legislative bodies (92111, 92112, 92114, pt. 92115)",430,Government - Local,No,No,Employed-At Work
107239,957006765079340,May,CA,4560.8252,1150.0,40,43,8,,24,2,7,0,0,"Native, Born In US",9,"Banking and related activities (521, 52211,52219)",840,"Private, For Profit",No,No,Employed-At Work
107240,958056402039650,May,CA,3460.5211,800.0,40,43,4,,35,1,7,0,0,"Foreign Born, US Cit By Naturalization",9,"Electrical lighting, equipment, and supplies manufacturing, n.e.c. (3351, 3353, 3359)",1550,"Private, For Profit",No,No,Employed-At Work
107245,960235083900892,May,CA,2765.1931,520.0,40,32,1,1.0,63,1,1,0,0,"Foreign Born, US Cit By Naturalization",9,** Construction (23),6260,"Private, For Profit",No,No,Employed-At Work
107248,960283083908391,May,CA,3741.2379,2884.61,50,44,4,,42,1,1,2,3,"Foreign Born, Not a US Citizen",9,4795,4700,"Private, For Profit",No,No,Employed-At Work
107249,960283083908391,May,CA,3616.0765,225.0,15,43,4,,43,2,1,2,3,"Foreign Born, Not a US Citizen",9,Computer systems design and related services (5415),2860,"Private, For Profit",No,No,Employed-At Work
107251,960941053908897,May,CA,4796.472,800.0,40,40,1,,21,2,7,0,0,"Native, Born In US",9,Restaurants and other food services (722 exc. 7224),310,"Private, For Profit",No,No,Employed-At Work
107252,960941053908897,May,CA,2817.5534,711.0,40,39,1,,52,1,5,0,0,"Native, Born In US",9,** Construction (23),6260,"Private, For Profit",No,No,Employed-At Work
107253,960941057808897,May,CA,3957.9938,181.15,20,43,1,,25,2,7,0,0,"Native, Born In US",9,"Colleges and universities, including junior colleges (6112, 6113)",2200,Government - State,No,No,Employed-At Work
107254,960941057808897,May,CA,3488.0652,181.15,20,43,1,,26,1,7,0,0,"Native, Born In US",9,"Colleges and universities, including junior colleges (6112, 6113)",2200,Government - State,No,No,Employed-At Work
107255,960941057808897,May,CA,3488.0652,300.0,40,41,1,,26,1,7,0,0,"Native, Born In US",9,Employment services (5613),9140,"Private, For Profit",No,No,Employed-At Work
107258,966036937079700,May,CA,2787.8717,1384.61,30,44,1,,64,2,5,0,0,"Native, Born In US",9,Elementary and secondary schools (6111),2310,Government - Local,Yes,,Employed-At Work
107259,966229730869009,May,CA,2807.7579,1312.0,30,39,1,1.0,51,2,3,0,0,"Native, Born In US",9,Elementary and secondary schools (6111),2540,Government - Local,Yes,,Employed-At Work
